asin,author,rank,title,year
0201633892,Lincoln D. Stein,1,How to Set Up and Maintain a World Wide Web Site: The Guide for Information Providers,1995
0465043623,John Allen Paulos,2,A Mathematician Reads The Newspaper,1995
0553100343,David Brin,3,Brightness Reef  (Bantam Spectra Book),1995
0385419937,Clifford Stoll,4,Silicon Snake Oil: Second Thoughts on the Information Highway,1995
0440203481,Joan Lowery Nixon,5,The Dark and Deadly Pool (Laurel-Leaf Suspense Fiction),1995
0679439196,Nicholas Negroponte,6,Being Digital,1995
1565920600,Jerry Peek,7,Learning the UNIX Operating System (Nutshell Handbooks),1995
0812925602,Edward Rothstein,8,Emblems of Mind: The Inner Life of Music and Mathematics,1995
0465051545,Douglas R. Hofstadter,9,Fluid Concepts And Creative Analogies: Computer Models Of The Fundamental Mechanisms Of Thought,1995
0060950560,B. Kirchner,10,The Bold Vegetarian: 150 Inspired International Recipes,1995
0962141542,Bruce Bendinger,11,Copy Workshop Workbook: Second Edition,1995
0670772895,Bill Gates,12,The Road Ahead (Book & CD),1995
067973337X,Jonathan Weiner,13,The Beak of the Finch: A Story of Evolution in Our Time,1995
0553096095,Neal Stephenson,14,"The Diamond Age, or, A Young Lady's Illustrated Primer",1995
0394756827,Douglas Hofstadter,15,"Gödel, Escher, Bach: An Eternal Golden Braid",1995
0553269828,David Brin,16,"Sundiver (The Uplift Saga, Book 1)",1995
0679437851,Oliver Sacks,17,An Anthropologist On Mars: Seven Paradoxical Tales,1995
0060976519,Steven Pinker,18,The Language Instinct: How the Mind Creates Language,1995
0836204158,Scott Adams,19,It's Obvious You Won't Survive By Your Wits Alone,1995
0471117099,Bruce Schneier,20,"Applied Cryptography: Protocols, Algorithms, and Source Code in C",1995
0553279718,David Brin,21,"The Uplift War (The Uplift Saga, Book 3)",1995
0679419462,Michael Crichton,22,The Lost World,1995
1556156502,Steve Maguire,23,"Debugging the Development Process: Practical Strategies for Staying Focused, Hitting Ship Dates, and Building Solid Teams",1995
055309503X,Daniel Goleman,24,Emotional Intelligence: Why It Can Matter More than IQ,1995
0553562738,Connie Willis,25,Doomsday Book,1995
055327418X,David Brin,26,"Startide Rising (The Uplift Saga, Book 2)",1995
0553296027,Meg O'Brien,27,HIGH TRAIL TO DANGER (A Bantam Starfire Book),1995
0877735379,Sun Tzu,28,The Art of War (Pocket Edition) (Shambhala Pocket Classics),1995
0960271430,Fellowship for…,29,Communities Directory: A Guide to Cooperative Living :1995 (Communities Directory: A Guide to Intentional Communities & Cooperative Living),1995
1854103040,David Hamilton,30,The Age of Innocence,1995
1565920422,Randal L. Schwartz,31,Learning Perl (Nutshell Handbooks),1995
